payment_id,order_id,payment_date,payment_method,payment_status,payment_amount
P0096,O0096,2026-01-08,wallet,success,211.93
P0097,O0097,2026-01-08,wallet,success,296.61
P0098,O0098,2026-01-08,bank_transfer,success,740.76
P0099,O0099,2026-01-08,bank_transfer,success,111.36
P0100,O0100,2026-01-08,wallet,success,75.49
P0101,O0101,2026-01-08,card,pending,563.49
P0102,O0102,2026-01-08,wallet,success,166.82
P0103,O0103,2026-01-08,bank_transfer,success,308.02
P0104,O0104,2026-01-08,bank_transfer,failed,751.97
P0105,O0105,2026-01-08,bank_transfer,success,95.41
P0106,O0106,2026-01-08,wallet,success,557.63
P0107,O0107,2026-01-08,card,failed,302.78000000000003
P0108,O0108,2026-01-08,wallet,success,299.99
P0109,O0109,2026-01-08,card,success,249.34
P0110,O0110,2026-01-09,bank_transfer,success,321.18
P0111,O0111,2026-01-09,bank_transfer,failed,713.59
P0112,O0112,2026-01-09,card,success,278.05
P0113,O0113,2026-01-09,bank_transfer,failed,495.09
P0114,O0114,2026-01-09,wallet,pending,238.28
P0115,O0115,2026-01-09,wallet,success,204.36
P0116,O0116,2026-01-09,wallet,success,649.14
P0117,O0117,2026-01-09,wallet,success,219.66000000000003
P0118,O0118,2026-01-09,card,success,290.24
P0119,O0119,2026-01-09,card,failed,109.38
P0120,O0120,2026-01-09,bank_transfer,success,126.89
P0121,O0121,2026-01-09,wallet,success,366.46
P0122,O0122,2026-01-09,bank_transfer,success,194.05
P0123,O0123,2026-01-09,bank_transfer,success,518.92
P0124,O0124,2026-01-09,bank_transfer,success,98.76
P0125,O0125,2026-01-10,bank_transfer,success,414.18
P0126,O0126,2026-01-10,bank_transfer,success,513.2199999999999
P0127,O0127,2026-01-10,bank_transfer,success,592.6600000000001
P0128,O0128,2026-01-10,bank_transfer,success,361.27
P0129,O0129,2026-01-10,wallet,pending,137.7
P0130,O0130,2026-01-10,card,success,414.12
P0131,O0131,2026-01-10,card,pending,539.9000000000001
P0132,O0132,2026-01-10,wallet,success,253.61
P0133,O0133,2026-01-10,card,failed,648.37
P0134,O0134,2026-01-10,card,success,466.78000000000003
P0135,O0135,2026-01-10,bank_transfer,success,640.83
P0136,O0136,2026-01-10,card,success,337.16
P0137,O0137,2026-01-10,bank_transfer,success,295.14
P0138,O0138,2026-01-10,bank_transfer,success,547.74
