order_id,customer_id,order_date,product_category,quantity,order_amount,discount_amount,status
O0050,C027,2026-01-04,Software,4,710.27,77.65,cancelled
O0051,C001,2026-01-04,Hardware,4,93.75,10.42,completed
O0052,C028,2026-01-05,Services,2,424.52,61.83,completed
O0053,C006,2026-01-05,Hardware,3,244.47,0.13,cancelled
O0054,C002,2026-01-05,Hardware,2,773.91,35.93,completed
O0055,C009,2026-01-05,Services,1,422.1,12.73,completed
O0056,C019,2026-01-05,Hardware,2,71.67,0.24,completed
O0057,C005,2026-01-05,Services,4,539.73,57.97,completed
O0058,C005,2026-01-05,Software,1,255.97,23.76,pending
O0059,C021,2026-01-05,Services,2,366.23,38.51,pending
O0060,C027,2026-01-05,Services,2,651.55,80.77,completed
O0061,C012,2026-01-05,Hardware,5,769.23,43.46,completed
O0062,C022,2026-01-05,Hardware,1,225.87,8.94,completed
O0063,C003,2026-01-05,Services,4,541.07,5.36,completed
O0064,C008,2026-01-05,Services,4,594.29,18.29,completed
O0065,C030,2026-01-05,Services,2,559.61,64.38,completed
O0066,C024,2026-01-06,Software,1,566.59,52.79,completed
O0067,C022,2026-01-06,Hardware,3,115.63,3.78,completed
O0068,C015,2026-01-06,Services,2,623.05,92.83,completed
O0069,C001,2026-01-06,Services,4,260.09,2.98,cancelled
O0070,C030,2026-01-06,Software,5,200.14,17.46,completed
O0071,C027,2026-01-06,Software,3,520.07,21.81,completed
O0072,C006,2026-01-06,Hardware,4,42.73,3.15,completed
O0073,C013,2026-01-06,Software,3,280.22,35.32,completed
O0074,C030,2026-01-06,Services,3,188.76,0.33,completed
O0075,C028,2026-01-06,Hardware,3,487.77,26.39,pending
O0076,C027,2026-01-06,Software,2,543.1,51.73,cancelled
O0077,C007,2026-01-06,Hardware,1,627.62,73.92,pending
O0078,C029,2026-01-06,Services,1,754.93,62.19,completed
O0079,C020,2026-01-06,Hardware,4,612.03,59.17,completed
O0080,C016,2026-01-06,Hardware,3,355.3,15.02,completed
O0081,C018,2026-01-06,Services,2,548.35,9.85,completed
O0082,C016,2026-01-06,Hardware,4,458.29,31.14,completed
O0083,C003,2026-01-06,Hardware,2,172.77,14.41,completed
O0084,C024,2026-01-07,Services,5,701.67,40.29,completed
O0085,C002,2026-01-07,Hardware,2,418.59,36.06,completed
O0086,C028,2026-01-07,Software,4,684.96,9.51,completed
O0087,C010,2026-01-07,Software,2,685.0,89.69,completed
O0088,C026,2026-01-07,Software,1,399.68,35.2,completed
O0089,C015,2026-01-07,Software,2,228.83,3.74,completed
O0090,C027,2026-01-07,Hardware,1,588.52,57.15,completed
O0091,C005,2026-01-07,Services,3,216.76,29.91,cancelled
O0092,C014,2026-01-08,Software,3,570.92,9.6,completed
O0093,C009,2026-01-08,Software,5,209.92,18.93,completed
O0094,C011,2026-01-08,Hardware,5,529.88,70.24,completed
O0095,C014,2026-01-08,Software,2,575.54,26.54,completed
O0096,C003,2026-01-08,Hardware,2,235.51,23.58,completed
O0097,C014,2026-01-08,Software,3,315.36,18.75,completed
O0098,C016,2026-01-08,Software,2,777.09,36.33,completed
O0099,C010,2026-01-08,Services,2,122.85,11.49,pending
O0100,C022,2026-01-08,Hardware,1,82.88,7.39,completed
O0101,C002,2026-01-08,Hardware,3,579.49,16.0,completed
O0102,C011,2026-01-08,Services,4,184.92,18.1,completed
O0103,C027,2026-01-08,Software,1,324.15,16.13,completed
O0104,C014,2026-01-08,Software,4,766.19,14.22,completed
O0105,C014,2026-01-08,Software,3,106.7,11.29,completed
O0106,C012,2026-01-08,Services,4,600.36,42.73,completed
O0107,C002,2026-01-08,Software,3,325.43,22.65,completed
O0108,C011,2026-01-08,Services,1,315.86,15.87,completed
O0109,C030,2026-01-08,Services,1,249.48,0.14,completed
O0110,C025,2026-01-09,Hardware,4,333.75,12.57,completed
O0111,C026,2026-01-09,Services,2,747.6,34.01,completed
O0112,C015,2026-01-09,Software,5,315.01,36.96,completed
O0113,C003,2026-01-09,Services,3,533.65,38.56,completed
O0114,C003,2026-01-09,Software,4,241.32,3.04,completed
O0115,C006,2026-01-09,Services,2,217.99,13.63,completed
O0116,C025,2026-01-09,Services,3,679.06,29.92,completed
O0117,C015,2026-01-09,Software,3,228.05,8.39,pending
O0118,C003,2026-01-09,Services,5,341.01,50.77,completed
O0119,C002,2026-01-09,Software,4,117.77,8.39,pending
O0120,C008,2026-01-09,Services,2,130.6,3.71,cancelled
O0121,C006,2026-01-09,Services,1,381.33,14.87,completed
O0122,C012,2026-01-09,Software,1,205.41,11.36,completed
O0123,C024,2026-01-09,Software,3,535.25,16.33,completed
O0124,C010,2026-01-09,Hardware,5,99.23,0.47,completed
O0125,C022,2026-01-10,Software,2,458.1,43.92,completed
O0126,C010,2026-01-10,Software,3,547.54,34.32,completed
O0127,C001,2026-01-10,Hardware,2,696.83,104.17,completed
O0128,C001,2026-01-10,Software,1,369.96,8.69,completed
O0129,C006,2026-01-10,Software,4,138.78,1.08,completed
O0130,C024,2026-01-10,Hardware,2,423.39,9.27,completed
O0131,C016,2026-01-10,Software,3,612.7,72.8,completed
O0132,C016,2026-01-10,Services,4,279.04,25.43,completed
O0133,C027,2026-01-10,Software,5,717.26,68.89,completed
O0134,C006,2026-01-10,Services,2,469.72,2.94,completed
O0135,C024,2026-01-10,Services,1,659.89,19.06,completed
O0136,C020,2026-01-10,Hardware,4,386.36,49.2,completed
O0137,C022,2026-01-10,Software,1,319.26,24.12,completed
O0138,C015,2026-01-10,Hardware,2,620.31,72.57,pending
